   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
      3/1    0.000    0.000    0.505    0.505 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen os>:1081(__subclasshook__)
     1195    0.001    0.000    0.002    0.000 <frozen os>:674(__getitem__)
     1195    0.001    0.000    0.001    0.000 <frozen os>:756(encode)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        8    0.000    0.000    0.000    0.000 <frozen posixpath>:131(splitdrive)
      598    0.001    0.000    0.002    0.000 <frozen posixpath>:150(dirname)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
     1206    0.000    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      606    0.002    0.000    0.003    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.003    0.003 6487.210 6487.210 <string>:1(<module>)
        1    0.000    0.000    0.463    0.463 __init__.py:1(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
        2    0.000    0.000    0.000    0.000 __init__.py:109(<lambda>)
      597    0.001    0.000    0.027    0.000 __init__.py:111(resource_exists)
      598    0.000    0.000    0.027    0.000 __init__.py:1115(<genexpr>)
        5    0.000    0.000    0.030    0.006 __init__.py:130(timezone)
        5    0.000    0.000    0.000    0.000 __init__.py:193(_unmunge_zone)
        5    0.000    0.000    0.000    0.000 __init__.py:201(_case_insensitive_zone_lookup)
      598    0.000    0.000    0.000    0.000 __init__.py:205(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:225(compile)
        5    0.000    0.000    0.000    0.000 __init__.py:225(fromutc)
       10    0.000    0.000    0.000    0.000 __init__.py:230(utcoffset)
       10    0.000    0.000    0.000    0.000 __init__.py:236(dst)
        1    0.000    0.000    0.000    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.506    0.506 __init__.py:323(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:350(namedtuple)
        7    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        5    0.000    0.000    0.000    0.000 __init__.py:47(ascii)
      598    0.002    0.000    0.023    0.000 __init__.py:78(open_resource)
       13    0.000    0.000    0.000    0.000 _altair.py:27(find_spec)
       13    0.000    0.000    0.000    0.000 _bokeh.py:35(find_spec)
       13    0.000    0.000    0.000    0.000 _client_info.py:29(find_spec)
        1    0.000    0.000    0.000    0.000 _compat.py:56(find_spec)
       13    0.000    0.000    0.000    0.000 _cv2.py:69(find_spec)
       12    0.000    0.000    0.000    0.000 _datasource.py:102(_load)
       10    0.000    0.000    0.000    0.000 _datasource.py:129(keys)
        2    0.000    0.000    0.000    0.000 _datasource.py:148(__getitem__)
        2    0.000    0.000    0.007    0.003 _datasource.py:154(open)
        2    0.000    0.000    0.000    0.000 _datasource.py:245(__init__)
        2    0.000    0.000    0.000    0.000 _datasource.py:255(__del__)
        6    0.000    0.000    0.000    0.000 _datasource.py:262(_iszip)
        2    0.000    0.000    0.000    0.000 _datasource.py:279(_splitzipext)
        4    0.000    0.000    0.000    0.000 _datasource.py:293(_possible_names)
        6    0.000    0.000    0.000    0.000 _datasource.py:302(_isurl)
        2    0.000    0.000    0.001    0.000 _datasource.py:343(_findfile)
        2    0.000    0.000    0.000    0.000 _datasource.py:374(abspath)
        4    0.000    0.000    0.000    0.000 _datasource.py:416(_sanitize_relative_path)
        2    0.000    0.000    0.000    0.000 _datasource.py:430(exists)
        2    0.000    0.000    0.006    0.003 _datasource.py:486(open)
       13    0.000    0.000    0.000    0.000 _generativeai.py:31(find_spec)
